year,quarter,Pos,Neg,Neg_net
2001,1,0.050882635685253357,0.03129610739074821,-0.01958652829450515
2001,2,0.038928305335925624,0.024152187555150598,-0.014776117780775023
2001,3,0.03749075429804019,0.03698362265566549,-0.000507131642374703
2001,4,0.04747507673762338,0.02545641410278777,-0.022018662634835606
2002,1,0.05389642959006548,0.02633542548249484,-0.027561004107570636
2002,2,0.04127253530509715,0.0355407902364767,-0.00573174506862045
2002,3,0.04693790444615335,0.020007524384265073,-0.026930380061888276
2002,4,0.046560498268411916,0.026645390816151315,-0.019915107452260602
2003,1,0.048063282330845176,0.02141951342896828,-0.026643768901876898
2003,2,0.05303050579737819,0.03647822596940216,-0.016552279827976038
2003,3,0.051932683058274955,0.024808122134112334,-0.027124560924162613
2003,4,0.05700891876212574,0.021453340675717768,-0.03555557808640798
2004,1,0.04636270281624935,0.028324752193018488,-0.01803795062323086
2004,2,0.04541081893042333,0.02165397460617326,-0.023756844324250067
2004,3,0.06126759730528689,0.023544655863681308,-0.03772294144160558
2004,4,0.0615794859263092,0.024400640523635386,-0.03717884540267381
2005,1,0.05967026718683541,0.025609679822213082,-0.03406058736462233
2005,2,0.05684506503615965,0.02440822435097017,-0.03243684068518948
2005,3,0.055523211943597404,0.023606675191349468,-0.03191653675224794
2005,4,0.0536243308183613,0.024599900392554056,-0.029024430425807247
2006,1,0.047388615665110066,0.019574801102237194,-0.027813814562872876
2006,2,0.058140092731369504,0.0225151481398338,-0.03562494459153571
2006,3,0.0544171887102415,0.015767596442250262,-0.038649592267991244
2006,4,0.06316780546285035,0.017199089786768037,-0.04596871567608231
2007,1,0.06256441685456082,0.01717408474645499,-0.045390332108105835
2007,2,0.06201965955481118,0.02581633324884554,-0.036203326305965636
2007,3,0.06423867167589158,0.0265242862761399,-0.03771438539975167
2007,4,0.06799917578442786,0.02345869591275824,-0.044540479871669626
2008,1,0.05695118532010098,0.03234114289165792,-0.024610042428443068
2008,2,0.06136623525437712,0.04050686224748087,-0.02085937300689626
2008,3,0.058328223411392176,0.04966660989651073,-0.008661613514881449
2008,4,0.05437330929047493,0.040676749084205426,-0.013696560206269503
2009,1,0.052633457581652755,0.03881803109069688,-0.013815426490955877
2009,2,0.06205648521818502,0.03980165387577136,-0.022254831342413663
2009,3,0.07191892010496907,0.026972192686010137,-0.04494672741895893
2009,4,0.06338612798346198,0.030548271454827042,-0.03283785652863494
2010,1,0.056814852512023374,0.03227126800949038,-0.024543584502532998
2010,2,0.06355708575546645,0.03175972464473765,-0.03179736111072881
2010,3,0.06031176611894441,0.025921067687604174,-0.03439069843134024
2010,4,0.06118408337538246,0.025989664829804634,-0.03519441854557783
2011,1,0.051273672931469304,0.03187377652754518,-0.01939989640392413
2011,2,0.05221605717337559,0.032626636057187984,-0.019589421116187607
2011,3,0.05176535541767451,0.038558737933409644,-0.013206617484264866
2011,4,0.04927872845434928,0.038855339361837486,-0.01042338909251179
2012,1,0.05371309433631163,0.0287287760533498,-0.02498431828296183
2012,2,0.05391947199602434,0.03500070469515275,-0.01891876730087159
2012,3,0.05711902202256022,0.028886031447088113,-0.028232990575472107
2012,4,0.05970885568831429,0.030681564762364284,-0.029027290925950005
2013,1,0.055778276715012454,0.027781504388227688,-0.027996772326784766
2013,2,0.055980861197115706,0.03274368890604328,-0.02323717229107242
2013,3,0.06446747958152502,0.027523482448773343,-0.03694399713275167
2013,4,0.06736257774180816,0.023959171424762317,-0.04340340631704584
2014,1,0.05545789266439129,0.03081831478529223,-0.024639577879099053
2014,2,0.06399037714916218,0.025267885174581502,-0.038722491974580685
2014,3,0.060917221105829804,0.03154378500436424,-0.029373436101465557
2014,4,0.056628314266552265,0.030186887521838422,-0.026441426744713847
2015,1,0.05407665120070098,0.025801845451766104,-0.028274805748934876
2015,2,0.055100789871568266,0.023947739635667847,-0.031153050235900415
2015,3,0.05795991821593817,0.02754438465889374,-0.03041553355704443
2015,4,0.05384637280059238,0.030305773989381293,-0.023540598811211084
2016,1,0.061711427130476774,0.029245659774906892,-0.03246576735556988
2016,2,0.05524970030089598,0.0317488886121676,-0.023500811688728387
2016,3,0.06015902375049629,0.027930111190346687,-0.032228912560149606
2016,4,0.05878513547658275,0.024211550976973924,-0.034573584499608824
2017,1,0.060475905640926836,0.02558704517733265,-0.034888860463594185
2017,2,0.05849816359561298,0.031029444343504763,-0.027468719252108222
2017,3,0.06564854156372037,0.023685998736846053,-0.04196254282687432
2017,4,0.06723435155325294,0.024266039648478902,-0.042968311904774036
2018,1,0.06157944305488374,0.027300051452865938,-0.03427939160201781
2018,2,0.05965465223492952,0.026839766013352022,-0.0328148862215775
2018,3,0.05837750308850352,0.027074988413840255,-0.031302514674663266
2018,4,0.05492884126370873,0.027370921628540348,-0.027557919635168373
2019,1,0.0614161000032757,0.023430019100703053,-0.03798608090257265
2019,2,0.05782304844104894,0.028384935690724568,-0.029438112750324368
2019,3,0.05997505904778604,0.0275114100104726,-0.03246364903731344
2019,4,0.06411362657649139,0.027656601176214247,-0.036457025400277135
2020,1,0.05937584872294302,0.037896076070464434,-0.02147977265247858
2020,2,0.057984104839594805,0.03432274316641468,-0.023661361673180125
2020,3,0.06680140002256493,0.029623919622602864,-0.03717748039996207
2020,4,0.06418925345183703,0.03212215329792714,-0.032067100153909886
2021,1,0.0618722294960399,0.02214847337819883,-0.03972375611784106
2021,2,0.06736534254571251,0.024906926132830826,-0.042458416412881686
2021,3,0.0590941368158727,0.026934286196160406,-0.0321598506197123
2021,4,0.05418178508710076,0.03092634044832074,-0.02325544463878002
2022,1,0.056020132117822065,0.027005864525638395,-0.02901426759218367
2022,2,0.05624953986461426,0.0299453310057521,-0.026304208858862158
2022,3,0.05467258590456289,0.02576960497861046,-0.02890298092595242
2022,4,0.05635605450919161,0.03172805175887722,-0.024628002750314387
2023,1,0.052650164106025334,0.03269147587385464,-0.019958688232170695
2023,2,0.06553268468028516,0.02532554189706475,-0.040207142783220406
2023,3,0.055987377925096435,0.021505162777760673,-0.03448221514733576
2023,4,0.062025695723378474,0.023864629265057877,-0.03816106645832059
2024,1,0.06580522272343733,0.02035943808968163,-0.0454457846337557
2024,2,0.06121172769264955,0.02681689275707234,-0.034394834935577205
2024,3,0.06380007103696082,0.01754564886476171,-0.046254422172199106
2024,4,0.06602853483258553,0.017714762016152765,-0.04831377281643275
